A ,J ,8,6,3,F 
A ,J ,8,6,2,F 
A ,J ,8,5,4,F 
A ,J ,8,5,3,F 
A ,J ,8,5,2,F 
A ,J ,8,4,3,F 
A ,J ,8,4,2,F 
A ,J ,8,3,2,F 
A ,J ,7,6,5,F 
A ,J ,7,6,4,F 
A ,J ,7,6,3,F 
A ,J ,7,6,2,F 
A ,J ,7,5,4,F 
A ,J ,7,5,3,F 
A ,J ,7,5,2,F 
A ,J ,7,4,3,F 
A ,J ,7,4,2,F 
A ,J ,7,3,2,F 
A ,J ,6,5,4,F 
A ,J ,6,5,3,F 
A ,J ,6,5,2,F 
A ,J ,6,4,3,F 
A ,J ,6,4,2,F 
A ,J ,6,3,2,F 
A ,J ,5,4,3,F 
A ,J ,5,4,2,F 
A ,J ,5,3,2,F 
A ,J ,4,3,2,F 
A ,T ,9,8,7,F 
A ,T ,9,8,6,F 
A ,T ,9,8,5,F 
A ,T ,9,8,4,F 
A ,T ,9,8,3,F 
A ,T ,9,8,2,F 
A ,T ,9,7,6,F 
A ,T ,9,7,5,F 
A ,T ,9,7,4,F 
A ,T ,9,7,3,F 
A ,T ,9,7,2,F 
A ,T ,9,6,5,F 
A ,T ,9,6,4,F 
A ,T ,9,6,3,F 
A ,T ,9,6,2,F 
A ,T ,9,5,4,F 
A ,T ,9,5,3,F 
A ,T ,9,5,2,F 
A ,T ,9,4,3,F 
A ,T ,9,4,2,F 
A ,T ,9,3,2,F 
A ,T ,8,7,6,F 
A ,T ,8,7,5,F 
A ,T ,8,7,4,F 
A ,T ,8,7,3,F 
A ,T ,8,7,2,F 
A ,T ,8,6,5,F 
A ,T ,8,6,4,F 
A ,T ,8,6,3,F 
A ,T ,8,6,2,F 
A ,T ,8,5,4,F 
A ,T ,8,5,3,F 
A ,T ,8,5,2,F 
A ,T ,8,4,3,F 
A ,T ,8,4,2,F 
A ,T ,8,3,2,F 
A ,T ,7,6,5,F 
A ,T ,7,6,4,F 
A ,T ,7,6,3,F 
A ,T ,7,6,2,F 
A ,T ,7,5,4,F 
A ,T ,7,5,3,F 
A ,T ,7,5,2,F 
A ,T ,7,4,3,F 
A ,T ,7,4,2,F 
A ,T ,7,3,2,F 
A ,T ,6,5,4,F 
A ,T ,6,5,3,F 
A ,T ,6,5,2,F 
A ,T ,6,4,3,F 
A ,T ,6,4,2,F 
A ,T ,6,3,2,F 
A ,T ,5,4,3,F 
A ,T ,5,4,2,F 
A ,T ,5,3,2,F 
A ,T ,4,3,2,F 
A ,9,8,7,6,F 
A ,9,8,7,5,F 
A ,9,8,7,4,F 
A ,9,8,7,3,F 
A ,9,8,7,2,F 
A ,9,8,6,5,F 
A ,9,8,6,4,F 
A ,9,8,6,3,F 
A ,9,8,6,2,F 
A ,9,8,5,4,F 
A ,9,8,5,3,F 
A ,9,8,5,2,F 
A ,9,8,4,3,F 
A ,9,8,4,2,F 
A ,9,8,3,2,F 
A ,9,7,6,5,F 
A ,9,7,6,4,F 
A ,9,7,6,3,F 
A ,9,7,6,2,F 
A ,9,7,5,4,F 
A ,9,7,5,3,F 
A ,9,7,5,2,F 
A ,9,7,4,3,F 
A ,9,7,4,2,F 
A ,9,7,3,2,F 
A ,9,6,5,4,F 
A ,9,6,5,3,F 
A ,9,6,5,2,F 
A ,9,6,4,3,F 
A ,9,6,4,2,F 
A ,9,6,3,2,F 
A ,9,5,4,3,F 
A ,9,5,4,2,F 
A ,9,5,3,2,F 
A ,9,4,3,2,F 
A ,8,7,6,5,F 
A ,8,7,6,4,F 
A ,8,7,6,3,F 
A ,8,7,6,2,F 
A ,8,7,5,4,F 
A ,8,7,5,3,F 
A ,8,7,5,2,F 
A ,8,7,4,3,F 
A ,8,7,4,2,F 
A ,8,7,3,2,F 
A ,8,6,5,4,F 
A ,8,6,5,3,F 
A ,8,6,5,2,F 
A ,8,6,4,3,F 
A ,8,6,4,2,F 
A ,8,6,3,2,F 
A ,8,5,4,3,F 
A ,8,5,4,2,F 
A ,8,5,3,2,F 
A ,8,4,3,2,F 
A ,7,6,5,4,F 
A ,7,6,5,3,F 
A ,7,6,5,2,F 
A ,7,6,4,3,F 
A ,7,6,4,2,F 
A ,7,6,3,2,F 
A ,7,5,4,3,F 
A ,7,5,4,2,F 
A ,7,5,3,2,F 
A ,7,4,3,2,F 
A ,6,5,4,3,F 
A ,6,5,4,2,F 
A ,6,5,3,2,F 
A ,6,4,3,2,F 
K ,Q ,J ,T ,8,F 
K ,Q ,J ,T ,7,F 
K ,Q ,J ,T ,6,F 
K ,Q ,J ,T ,5,F 
K ,Q ,J ,T ,4,F 
K ,Q ,J ,T ,3,F 
K ,Q ,J ,T ,2,F 
K ,Q ,J ,9,8,F 
K ,Q ,J ,9,7,F 
K ,Q ,J ,9,6,F 
K ,Q ,J ,9,5,F 
K ,Q ,J ,9,4,F 
K ,Q ,J ,9,3,F 
K ,Q ,J ,9,2,F 
K ,Q ,J ,8,7,F 
K ,Q ,J ,8,6,F 
K ,Q ,J ,8,5,F 
K ,Q ,J ,8,4,F 
K ,Q ,J ,8,3,F 
K ,Q ,J ,8,2,F 
K ,Q ,J ,7,6,F 
K ,Q ,J ,7,5,F 
K ,Q ,J ,7,4,F 
K ,Q ,J ,7,3,F 
K ,Q ,J ,7,2,F 
K ,Q ,J ,6,5,F 
K ,Q ,J ,6,4,F 
K ,Q ,J ,6,3,F 
K ,Q ,J ,6,2,F 
K ,Q ,J ,5,4,F 
K ,Q ,J ,5,3,F 
K ,Q ,J ,5,2,F 
K ,Q ,J ,4,3,F 
K ,Q ,J ,4,2,F 
K ,Q ,J ,3,2,F 
K ,Q ,T ,9,8,F 
K ,Q ,T ,9,7,F 
K ,Q ,T ,9,6,F 
K ,Q ,T ,9,5,F 
K ,Q ,T ,9,4,F 
K ,Q ,T ,9,3,F 
K ,Q ,T ,9,2,F 
K ,Q ,T ,8,7,F 
K ,Q ,T ,8,6,F 
K ,Q ,T ,8,5,F 
K ,Q ,T ,8,4,F 
K ,Q ,T ,8,3,F 
K ,Q ,T ,8,2,F 
K ,Q ,T ,7,6,F 
K ,Q ,T ,7,5,F 
K ,Q ,T ,7,4,F 
K ,Q ,T ,7,3,F 
K ,Q ,T ,7,2,F 
K ,Q ,T ,6,5,F 
K ,Q ,T ,6,4,F 
K ,Q ,T ,6,3,F 
K ,Q ,T ,6,2,F 
K ,Q ,T ,5,4,F 
K ,Q ,T ,5,3,F 
K ,Q ,T ,5,2,F 
K ,Q ,T ,4,3,F 
K ,Q ,T ,4,2,F 
K ,Q ,T ,3,2,F 
K ,Q ,9,8,7,F 
K ,Q ,9,8,6,F 
K ,Q ,9,8,5,F 
K ,Q ,9,8,4,F 
K ,Q ,9,8,3,F 
K ,Q ,9,8,2,F 
K ,Q ,9,7,6,F 
K ,Q ,9,7,5,F 
K ,Q ,9,7,4,F 
